id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yPLbMx2Wmp,,1,"2023-12-17 01:02:45",@jerianlumawag5973,"​Appleslayer550fanon way",UCNHPJsFNsZXztW9Tp4tCRCg,http://www.youtube.com/@jerianlumawag5973,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yWiDKSPKXh,,0,"2023-12-19 21:43:44",@torres_edit,"Coke with coke is really good for me too",UCRibLzd4mGOKTzGgNjO5fgg,http://www.youtube.com/@torres_edit,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9ybVSCWtTP4,,0,"2023-12-22 03:38:53",@bluecrayfish2081,"You're talking about the drink right?",UCiyuoALb_3UsRwbjnctyXlA,http://www.youtube.com/@bluecrayfish2081,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9ybjv2CnRUM,,0,"2023-12-22 05:54:01",@simonjohnpucotabundo7088,Same,UCZBHcNMifaD1TgavdlMnaLQ,http://www.youtube.com/@simonjohnpucotabundo7088,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9ybrWzHp0_1,,0,"2023-12-22 07:00:30",@MichaelBajaro-lc4yv,Ok,UCqonximysTY-iVkqeBiEQKw,http://www.youtube.com/@MichaelBajaro-lc4yv,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9ycZBB4pkjS,,0,"2023-12-22 13:30:45",@kai_ciell,😊​@jonelbondyingnuezca742,UCSpXwPB8nK2BHIpL9nnFscw,http://www.youtube.com/@kai_ciell,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugz83b2o6YCiVZHLtTl4AaABAg.9xUbRU13_rX9yfKS19_p-5,,0,"2023-12-23 15:19:42",@killua5081,"Me too i love coke the powder one",UCnM9d0nwH3PGvMldvWdkl6Q,http://www.youtube.com/@killua5081,1,Ugz83b2o6YCiVZHLtTl4AaABAg,@gmrn3014s
Ugzbc5FQVvpu9t-GtGp4AaABAg,0,12,"2023-11-20 11:20:21",@jesxzs8,"I love the song 🎵🎵",UC1R_mFUQRjQ0MYjyOkeWDvQ,http://www.youtube.com/@jesxzs8,0,,
UgxUtKWOFXnFSkDE2xh4AaABAg,1,3,"2023-11-19 15:32:58",@carljakemagdulla1238,"i could me santa clauseee",UCjlxfxl2RoPA8M9RXpXYA_g,http://www.youtube.com/@carljakemagdulla1238,0,,
UgxUtKWOFXnFSkDE2xh4AaABAg.9xInwP7OGCE9yAp7u1ND6C,,1,"2023-12-11 09:40:52",@HoneyKumLei,"I love that part so much",UC-iN-XS7Yn5m_fq7QQZ-Hkg,http://www.youtube.com/@HoneyKumLei,1,UgxUtKWOFXnFSkDE2xh4AaABAg,@carljakemagdulla1238
UgyOrPEuCY7SzG6UxGd4AaABAg,2,3,"2023-11-19 07:54:00",@JOHNGIBS,"I'M NAUGHTY THIS YEAR PLEASE FORGIVE ME SANTA 😢 Don't forget my gift 😌",UC-KZaWjRSPrK90ArNLYbJVw,http://www.youtube.com/@JOHNGIBS,0,,
UgyOrPEuCY7SzG6UxGd4AaABAg.9xHzPvKsUTA9yXCOGMLDbe,,0,"2023-12-20 02:16:07",@weldermartins2715,"SovietSpyShorts LOL",UCdAia0xY29vvJ6VcnrUnGAg,http://www.youtube.com/@weldermartins2715,1,UgyOrPEuCY7SzG6UxGd4AaABAg,@JOHNGIBS
UgyOrPEuCY7SzG6UxGd4AaABAg.9xHzPvKsUTA9yZZvjQjBMX,,0,"2023-12-21 00:20:16",@WatUEvenThinkin,"anyone can be santa, that means you can be santa. And with that, you can forgive yourself :)))",UCYbSfZgMQ9v4FpcLmpZe8uw,http://www.youtube.com/@WatUEvenThinkin,1,UgyOrPEuCY7SzG6UxGd4AaABAg,@JOHNGIBS
UgwNL3dhHm2azIIrqL94AaABAg,0,8,"2023-11-17 10:13:23",@moonfoxgaming6895,"Love CocaCola❤❤❤❤",UC-KMCO2Xg7yO2E1peEKTKJg,http://www.youtube.com/@moonfoxgaming6895,0,,
UgwpP68A9lexbvKjYlR4AaABAg,0,3,"2023-11-17 09:33:33",@dogcat9007,santa,UCDVk6JIOWkMCy8w89-_bHaQ,http://www.youtube.com/@dogcat9007,0,,
